Wavelength(nm),380,390,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700,710,720,730
P1,0.0194,0.0519,0.1346,0.2469,0.3359,0.4111,0.4943,0.562,0.6022,0.6246,0.6298,0.6195,0.5923,0.5428,0.4677,0.3781,0.2862,0.1964,0.1181,0.0673,0.0406,0.0289,0.0217,0.0183,0.0182,0.0197,0.0225,0.0284,0.0359,0.0392,0.0367,0.032,0.0275,0.0267,0.0346,0.0582
P2,0.0415,0.0728,0.1433,0.2255,0.2734,0.2821,0.2684,0.2402,0.2069,0.1664,0.1224,0.0924,0.0703,0.0416,0.0208,0.0171,0.0195,0.0167,0.0188,0.0524,0.1638,0.3382,0.5066,0.6318,0.7069,0.7464,0.7687,0.7819,0.7898,0.7915,0.7886,0.7862,0.7887,0.7933,0.7969,0.801
P3,0.0293,0.0286,0.0314,0.0306,0.025,0.0209,0.0223,0.0222,0.0265,0.067,0.2001,0.3824,0.5155,0.5959,0.6484,0.6851,0.7101,0.7255,0.7328,0.7416,0.748,0.7552,0.7596,0.7632,0.7698,0.7799,0.791,0.7986,0.8026,0.8016,0.7977,0.7957,0.7987,0.8025,0.8048,0.8071
P4,0.0058,0.0125,0.0507,0.1274,0.1875,0.216,0.2275,0.2179,0.1945,0.1606,0.1211,0.0931,0.0713,0.0431,0.0218,0.0157,0.0143,0.0095,0.007,0.0098,0.0178,0.0256,0.0275,0.0272,0.0282,0.0303,0.0337,0.04,0.0477,0.0511,0.0482,0.043,0.0383,0.0372,0.0457,0.0695
P5,0.0061,0.0063,0.0133,0.0209,0.0211,0.02,0.0232,0.0245,0.0292,0.0673,0.1851,0.3338,0.4197,0.4376,0.4056,0.3435,0.2686,0.1898,0.1186,0.0717,0.0467,0.0353,0.0283,0.0245,0.0244,0.026,0.0293,0.0354,0.043,0.0461,0.0432,0.0388,0.0343,0.0335,0.0419,0.0663
P6,0.009,0.0092,0.0149,0.0208,0.0199,0.0176,0.0175,0.0161,0.0161,0.0264,0.0487,0.0634,0.06,0.0401,0.0223,0.0192,0.0219,0.0192,0.0213,0.0554,0.1645,0.3332,0.4945,0.6122,0.6835,0.7235,0.748,0.7628,0.7707,0.7723,0.7697,0.7684,0.7718,0.7766,0.78,0.7838
P7,0.0102,0.0162,0.0376,0.0597,0.0654,0.0637,0.0689,0.0679,0.0692,0.0981,0.1456,0.1714,0.1645,0.1273,0.0868,0.0739,0.0725,0.0567,0.046,0.0577,0.0824,0.0987,0.0997,0.0971,0.0993,0.1046,0.1126,0.1261,0.1414,0.1473,0.1417,0.1324,0.1228,0.1208,0.1365,0.1769
P8,0.0518,0.0906,0.1754,0.2771,0.3454,0.3812,0.3987,0.3953,0.3762,0.3422,0.2973,0.2618,0.2298,0.1779,0.1262,0.1095,0.1078,0.0884,0.075,0.0914,0.1221,0.1412,0.1419,0.1385,0.1409,0.1466,0.156,0.1711,0.1881,0.1949,0.1886,0.178,0.1671,0.1646,0.1813,0.2245
P9,0.0445,0.0614,0.091,0.1146,0.1164,0.1143,0.1261,0.1303,0.1416,0.2165,0.3722,0.5176,0.5875,0.6027,0.5812,0.533,0.4673,0.3883,0.3049,0.2393,0.1953,0.1707,0.1525,0.1419,0.1417,0.1468,0.1558,0.1713,0.1883,0.195,0.1888,0.1781,0.1675,0.1651,0.1825,0.2268
P10,0.0578,0.069,0.0959,0.1148,0.1137,0.1077,0.1112,0.1078,0.1086,0.1427,0.1972,0.2265,0.2208,0.1803,0.1348,0.1255,0.135,0.1249,0.1286,0.2017,0.3527,0.5176,0.6362,0.7054,0.7425,0.7637,0.778,0.7873,0.7924,0.7924,0.7885,0.7859,0.7881,0.792,0.7946,0.7976
P11,0.2237,0.2876,0.3741,0.4602,0.517,0.5489,0.5676,0.569,0.5586,0.5363,0.5032,0.4757,0.4484,0.3995,0.3451,0.3244,0.3196,0.2919,0.2705,0.2903,0.3302,0.3576,0.3627,0.3612,0.3648,0.3721,0.3828,0.3987,0.416,0.422,0.4145,0.4031,0.3922,0.3899,0.4062,0.4472
P12,0.2439,0.2695,0.3012,0.3259,0.3318,0.3293,0.335,0.3313,0.3311,0.3642,0.4169,0.4486,0.4477,0.4124,0.368,0.3587,0.369,0.3575,0.36,0.43,0.5538,0.6683,0.7374,0.773,0.792,0.8043,0.8141,0.8206,0.8247,0.8239,0.8198,0.8169,0.8187,0.822,0.8244,0.8277
P13,0.1285,0.1662,0.2117,0.2481,0.2621,0.2649,0.2764,0.2768,0.2808,0.3218,0.3812,0.4129,0.4084,0.368,0.3168,0.2981,0.2952,0.2682,0.2473,0.2689,0.3103,0.3371,0.3405,0.3382,0.3422,0.3502,0.3619,0.3793,0.3977,0.4039,0.3961,0.3844,0.3733,0.3714,0.3894,0.4332
P14,0.2156,0.2498,0.2886,0.3178,0.3266,0.3298,0.3467,0.3537,0.3679,0.4385,0.5633,0.6661,0.7127,0.7249,0.7154,0.6886,0.6468,0.5897,0.523,0.4676,0.4267,0.4027,0.3832,0.3718,0.3717,0.3777,0.3882,0.4044,0.4217,0.4276,0.4201,0.4088,0.3979,0.3956,0.4127,0.4542
P15,0.4488,0.5073,0.5766,0.6429,0.6848,0.7073,0.7215,0.7251,0.7228,0.7135,0.6981,0.6851,0.6707,0.6417,0.6065,0.59,0.5821,0.5572,0.5347,0.5454,0.5748,0.5989,0.6061,0.6074,0.6111,0.6171,0.6259,0.6373,0.6488,0.6519,0.6451,0.6366,0.6302,0.6291,0.6393,0.6651
P16,0.4336,0.474,0.5181,0.5559,0.5747,0.5838,0.5997,0.6074,0.6182,0.6594,0.7289,0.7846,0.8094,0.8166,0.8135,0.8016,0.7812,0.7505,0.7115,0.6793,0.6535,0.6379,0.6247,0.6173,0.6178,0.6228,0.6312,0.6428,0.6548,0.6577,0.6513,0.6427,0.6359,0.6352,0.6455,0.6724
P17,0.4635,0.4927,0.5258,0.5546,0.5684,0.5711,0.5776,0.5759,0.5759,0.5969,0.6335,0.6595,0.6631,0.6442,0.6181,0.6125,0.6187,0.6105,0.6098,0.6522,0.721,0.7797,0.8113,0.8272,0.8364,0.8437,0.8508,0.8556,0.859,0.8577,0.8533,0.8505,0.8518,0.8544,0.8566,0.8601
P18,0.0057,0.0054,0.0082,0.0141,0.0184,0.0211,0.0236,0.0256,0.0267,0.0277,0.0285,0.0287,0.0286,0.0276,0.0256,0.0225,0.0182,0.0133,0.009,0.0064,0.0052,0.0046,0.0043,0.0043,0.0042,0.0043,0.0044,0.0047,0.0049,0.0049,0.0048,0.0049,0.0046,0.0048,0.0058,0.0077
P19,0.0052,0.0064,0.0095,0.0147,0.017,0.0175,0.0172,0.0161,0.0146,0.0126,0.0102,0.0087,0.0075,0.0061,0.0051,0.005,0.0051,0.0051,0.0055,0.0074,0.012,0.0175,0.0207,0.022,0.023,0.024,0.0251,0.0264,0.0277,0.0282,0.0277,0.0273,0.0276,0.0285,0.0307,0.0345
P20,0.0045,0.0044,0.006,0.0063,0.0064,0.0063,0.0067,0.0064,0.0076,0.0099,0.0156,0.0214,0.0245,0.0261,0.027,0.0273,0.0272,0.0265,0.0251,0.0233,0.0218,0.0208,0.02,0.0195,0.0196,0.0202,0.0212,0.0225,0.0235,0.0239,0.0238,0.0237,0.0236,0.0244,0.0265,0.0301
