Wavelength(nm),380,390,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700,710,720,730
P1,0.0197,0.0535,0.1357,0.2485,0.3371,0.411,0.4937,0.5608,0.6003,0.6219,0.6265,0.6164,0.5896,0.5402,0.4654,0.3762,0.2849,0.1955,0.1176,0.0671,0.0406,0.0289,0.0219,0.0183,0.0181,0.0197,0.0226,0.0283,0.0358,0.0392,0.0366,0.0321,0.0278,0.0267,0.0345,0.0582
P2,0.0444,0.0746,0.1455,0.2265,0.2737,0.2819,0.2683,0.2398,0.2067,0.1663,0.1226,0.0928,0.0711,0.0424,0.0217,0.018,0.0205,0.0175,0.0195,0.0531,0.1639,0.3373,0.5054,0.6299,0.7047,0.7441,0.7662,0.7793,0.7875,0.7894,0.7866,0.7843,0.7867,0.7919,0.7954,0.7994
P3,0.0317,0.0301,0.0318,0.0305,0.025,0.0208,0.0227,0.0228,0.0268,0.0668,0.1995,0.3814,0.5141,0.5941,0.6466,0.6831,0.7079,0.7231,0.7307,0.7396,0.7461,0.7535,0.7577,0.7612,0.7676,0.7775,0.7886,0.7965,0.8006,0.7996,0.7959,0.7941,0.7969,0.8008,0.8028,0.8051
P4,0.0074,0.0139,0.0511,0.1272,0.187,0.2154,0.2265,0.2166,0.1931,0.1589,0.1194,0.0915,0.0701,0.0422,0.0212,0.0152,0.0138,0.0091,0.0068,0.0096,0.0176,0.0253,0.0273,0.027,0.0281,0.0301,0.0336,0.0398,0.0474,0.0509,0.0479,0.0428,0.0381,0.0374,0.0457,0.0696
P5,0.0066,0.0072,0.0128,0.0205,0.0215,0.0201,0.0231,0.0243,0.029,0.0667,0.1834,0.3318,0.4181,0.4363,0.4048,0.3432,0.2685,0.1899,0.1189,0.0721,0.0471,0.0357,0.0285,0.0247,0.0246,0.0263,0.0296,0.0357,0.0434,0.0466,0.0436,0.0391,0.0346,0.0338,0.0423,0.0664
P6,0.01,0.0089,0.0149,0.0211,0.0199,0.0173,0.0171,0.0159,0.0161,0.026,0.048,0.0625,0.059,0.0394,0.022,0.0189,0.0215,0.0188,0.021,0.0547,0.1625,0.3302,0.491,0.6087,0.6798,0.7197,0.7442,0.7591,0.7675,0.7689,0.7663,0.7653,0.769,0.7742,0.778,0.7814
P7,0.0111,0.0174,0.0385,0.061,0.066,0.0646,0.0692,0.0683,0.0694,0.0975,0.1444,0.17,0.1633,0.1265,0.0863,0.0735,0.072,0.0564,0.0458,0.0576,0.0823,0.0984,0.0994,0.0969,0.0991,0.1042,0.1124,0.1257,0.1411,0.1472,0.1417,0.1325,0.1228,0.1208,0.1365,0.1768
P8,0.053,0.0922,0.1774,0.2777,0.3447,0.3801,0.3979,0.3943,0.3752,0.341,0.2965,0.2613,0.2294,0.1779,0.1263,0.1095,0.1078,0.0886,0.0753,0.0912,0.1217,0.1404,0.141,0.1376,0.14,0.1458,0.1551,0.17,0.187,0.1936,0.1877,0.1772,0.1661,0.1637,0.1805,0.2236
P9,0.0445,0.0623,0.092,0.1147,0.1164,0.1139,0.1259,0.1298,0.1411,0.2161,0.3712,0.5165,0.5867,0.6022,0.5808,0.5331,0.4677,0.3887,0.3055,0.24,0.1959,0.1712,0.153,0.1423,0.1421,0.1472,0.1564,0.1716,0.1889,0.1958,0.1895,0.1792,0.1681,0.1655,0.1832,0.2272
P10,0.0571,0.0702,0.097,0.1147,0.1132,0.1069,0.1102,0.1067,0.1072,0.1414,0.196,0.2255,0.2197,0.1794,0.1339,0.1245,0.1341,0.1242,0.1281,0.2011,0.3519,0.5167,0.6355,0.7049,0.7419,0.7627,0.7772,0.7863,0.7918,0.792,0.7884,0.7859,0.7881,0.7919,0.7947,0.7979
