Wavelength(nm),380,390,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700,710,720,730
P1,0.0202,0.0524,0.1343,0.247,0.3361,0.4105,0.4934,0.5613,0.602,0.6244,0.6292,0.6189,0.5914,0.5418,0.4666,0.3769,0.2851,0.1953,0.117,0.0663,0.0398,0.0281,0.021,0.0175,0.0174,0.0189,0.0219,0.0278,0.035,0.0383,0.0356,0.0311,0.0267,0.0258,0.0337,0.0572
P2,0.0457,0.0757,0.1473,0.2298,0.2779,0.2865,0.2734,0.245,0.2118,0.1712,0.1272,0.0969,0.0747,0.0456,0.0239,0.02,0.0226,0.0197,0.0217,0.0562,0.1683,0.3428,0.5109,0.6352,0.7098,0.7488,0.7709,0.7838,0.7916,0.7934,0.7901,0.7875,0.7902,0.7947,0.7981,0.8022
P3,0.0292,0.0281,0.0305,0.0292,0.0239,0.0201,0.0214,0.0215,0.0255,0.0657,0.1987,0.3815,0.515,0.5954,0.6487,0.6855,0.7104,0.7257,0.7331,0.742,0.7484,0.7558,0.7602,0.7635,0.7701,0.7802,0.7914,0.7991,0.8031,0.8019,0.7981,0.796,0.7987,0.8025,0.8046,0.8072
P4,0.0081,0.013,0.0511,0.1265,0.1865,0.2158,0.2268,0.2171,0.194,0.1602,0.1204,0.0925,0.0707,0.0427,0.0214,0.0154,0.0141,0.0094,0.007,0.0097,0.0174,0.0249,0.0268,0.0263,0.0273,0.0295,0.0329,0.039,0.0466,0.0499,0.047,0.0421,0.0375,0.0363,0.0446,0.0687
P5,0.0069,0.0074,0.0127,0.0204,0.0211,0.0199,0.023,0.0243,0.0291,0.067,0.1851,0.3342,0.4203,0.438,0.406,0.3441,0.269,0.19,0.1187,0.0718,0.0468,0.0353,0.028,0.0243,0.0243,0.0259,0.0291,0.0352,0.043,0.0462,0.0434,0.0387,0.0343,0.0336,0.0417,0.0662
P6,0.0078,0.0092,0.0144,0.0203,0.0203,0.0177,0.0175,0.0161,0.0164,0.0263,0.0484,0.0627,0.059,0.0393,0.0218,0.0189,0.0215,0.0188,0.021,0.0547,0.163,0.3316,0.493,0.6113,0.6831,0.7233,0.7477,0.7626,0.7706,0.7719,0.7692,0.7678,0.7716,0.7765,0.7795,0.7832
P7,0.0096,0.0165,0.0372,0.0601,0.0656,0.0644,0.0697,0.0685,0.0698,0.0983,0.1456,0.1712,0.1643,0.1272,0.0867,0.0739,0.0724,0.0567,0.0459,0.0576,0.0821,0.0982,0.0991,0.0963,0.0984,0.1038,0.1118,0.1254,0.1407,0.1468,0.1413,0.132,0.1221,0.12,0.1357,0.1765
P8,0.0478,0.0889,0.1746,0.2756,0.3444,0.3807,0.3988,0.3955,0.3763,0.3424,0.2979,0.2623,0.23,0.178,0.1262,0.1094,0.1077,0.0881,0.0746,0.0908,0.1218,0.1407,0.1415,0.1382,0.1405,0.1464,0.1557,0.1709,0.1879,0.1945,0.188,0.1773,0.1668,0.1643,0.181,0.2241
P9,0.0413,0.0596,0.0905,0.114,0.1158,0.1132,0.1249,0.1289,0.1406,0.2162,0.3722,0.5179,0.5882,0.6038,0.5825,0.5343,0.4686,0.3894,0.3058,0.24,0.196,0.1713,0.153,0.1422,0.1419,0.1471,0.1562,0.1716,0.1889,0.1958,0.1892,0.1788,0.1679,0.1656,0.183,0.2276
