Wavelength(nm),380,390,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700,710,720,730
P1,0.0226,0.053,0.136,0.2491,0.3378,0.4121,0.4952,0.5621,0.6012,0.6228,0.6272,0.617,0.59,0.5409,0.466,0.3766,0.2852,0.1957,0.1177,0.0672,0.0406,0.0289,0.0218,0.0181,0.0182,0.0197,0.0226,0.0284,0.0358,0.0394,0.0367,0.032,0.0274,0.0267,0.0345,0.0581
P2,0.0465,0.076,0.146,0.2277,0.2752,0.2831,0.2693,0.2409,0.2075,0.167,0.1233,0.0933,0.0713,0.0425,0.0215,0.0179,0.0203,0.0175,0.0195,0.0534,0.1642,0.338,0.5058,0.6302,0.705,0.7443,0.7665,0.7796,0.7879,0.7897,0.7871,0.7849,0.7874,0.7923,0.7955,0.7996
P3,0.0309,0.0298,0.0328,0.0313,0.0255,0.0216,0.0232,0.0233,0.0275,0.0679,0.2008,0.3827,0.5152,0.5953,0.6477,0.6839,0.7087,0.7238,0.7311,0.7402,0.7466,0.7542,0.7582,0.7616,0.7679,0.7778,0.7889,0.7967,0.8009,0.7997,0.7962,0.7943,0.7971,0.8013,0.8031,0.8056
P4,0.008,0.0132,0.0515,0.1281,0.1885,0.2173,0.2288,0.2187,0.1949,0.1604,0.121,0.0931,0.0713,0.0432,0.0217,0.0156,0.0141,0.0094,0.0069,0.0098,0.0179,0.0257,0.0277,0.0274,0.0286,0.0308,0.0344,0.0405,0.0482,0.0517,0.0485,0.0435,0.0387,0.0378,0.0461,0.0703
P5,0.0086,0.0072,0.0125,0.0202,0.0214,0.0199,0.0233,0.0242,0.0286,0.0666,0.1839,0.3323,0.4187,0.4368,0.4052,0.3434,0.2686,0.19,0.1189,0.0721,0.0471,0.0358,0.0285,0.0246,0.0245,0.0264,0.0295,0.0357,0.0432,0.0464,0.0436,0.0389,0.0343,0.0335,0.042,0.0666
P6,0.0084,0.0095,0.0153,0.0212,0.0201,0.0173,0.0173,0.0158,0.016,0.0262,0.0482,0.0627,0.0592,0.0396,0.0221,0.0191,0.0217,0.0189,0.0212,0.0549,0.1631,0.3312,0.492,0.6095,0.6807,0.7204,0.745,0.76,0.7682,0.7701,0.7674,0.7662,0.7702,0.7751,0.7785,0.7821
P7,0.0095,0.0163,0.0381,0.0603,0.0654,0.0639,0.069,0.068,0.069,0.0971,0.1444,0.1703,0.1637,0.1268,0.0866,0.0737,0.0721,0.0566,0.0457,0.0575,0.0821,0.0983,0.0995,0.0969,0.0991,0.1043,0.1125,0.1258,0.1409,0.1472,0.1416,0.1323,0.1227,0.121,0.136,0.1767
P8,0.0516,0.0932,0.1777,0.279,0.3455,0.3807,0.3983,0.3951,0.3758,0.3417,0.2968,0.2616,0.2298,0.1782,0.1266,0.1096,0.1079,0.0885,0.0751,0.0911,0.1217,0.1405,0.1412,0.1379,0.1401,0.146,0.1552,0.1704,0.1872,0.1939,0.1877,0.1772,0.1664,0.164,0.1808,0.2241
P9,0.0444,0.0621,0.0933,0.1158,0.1172,0.1147,0.1265,0.1305,0.1417,0.2167,0.3719,0.517,0.587,0.6025,0.5811,0.5332,0.4674,0.3883,0.3051,0.2395,0.1957,0.1711,0.1528,0.142,0.1419,0.147,0.1561,0.1715,0.1887,0.1954,0.1891,0.1786,0.1676,0.1654,0.183,0.2274
P10,0.0583,0.0724,0.0984,0.1155,0.1143,0.1077,0.1114,0.1081,0.1084,0.1424,0.1968,0.2261,0.2203,0.1799,0.1345,0.1252,0.1347,0.1246,0.1285,0.2015,0.3522,0.517,0.6355,0.7046,0.7415,0.7625,0.7769,0.7862,0.7917,0.7921,0.7882,0.7856,0.788,0.7921,0.7944,0.7975
P11,0.2279,0.2934,0.3778,0.4621,0.5185,0.5493,0.5677,0.5689,0.5584,0.5354,0.5022,0.4748,0.4478,0.3988,0.3442,0.3236,0.3187,0.2915,0.2702,0.2896,0.3295,0.3571,0.3621,0.3607,0.3643,0.3716,0.3823,0.3985,0.4157,0.4217,0.4143,0.4028,0.3922,0.3899,0.4061,0.447
P12,0.2459,0.2724,0.3029,0.3251,0.3298,0.3273,0.3331,0.3292,0.3291,0.3618,0.4146,0.4462,0.4453,0.4102,0.366,0.3566,0.3667,0.3553,0.3579,0.4278,0.5518,0.6667,0.736,0.7718,0.7908,0.8029,0.8129,0.8195,0.8239,0.8233,0.8192,0.8164,0.8181,0.8216,0.824,0.8276
P13,0.1309,0.1678,0.2133,0.25,0.2627,0.2653,0.2768,0.2772,0.2807,0.3216,0.3809,0.4126,0.4084,0.3681,0.3169,0.2982,0.2952,0.2681,0.2473,0.2687,0.3099,0.3366,0.3402,0.3381,0.3419,0.3499,0.3615,0.3788,0.3972,0.4039,0.3964,0.3846,0.3735,0.3715,0.3897,0.433
P14,0.2189,0.2545,0.2913,0.3188,0.3266,0.3301,0.3472,0.3542,0.3683,0.4382,0.5627,0.6658,0.7123,0.7244,0.715,0.688,0.6464,0.5894,0.523,0.4677,0.4269,0.4028,0.3835,0.372,0.372,0.3778,0.3883,0.4046,0.422,0.428,0.4205,0.4093,0.3985,0.3964,0.4133,0.4548
P15,0.4529,0.5132,0.581,0.6443,0.6864,0.7076,0.7218,0.7252,0.7226,0.7126,0.6971,0.6844,0.67,0.6409,0.6058,0.5893,0.5813,0.5564,0.534,0.5451,0.5745,0.5988,0.6062,0.6076,0.6114,0.6174,0.6259,0.6375,0.6494,0.6523,0.6456,0.6373,0.6305,0.6297,0.64,0.6659
P16,0.4441,0.4828,0.5228,0.5593,0.5761,0.5846,0.6001,0.6077,0.6184,0.6588,0.7282,0.7836,0.8085,0.8159,0.8128,0.8008,0.7806,0.7504,0.7117,0.6799,0.6542,0.6389,0.6258,0.6181,0.6185,0.6236,0.6322,0.6438,0.6558,0.6587,0.6524,0.6443,0.6372,0.6365,0.6468,0.6737
P17,0.47,0.4986,0.5289,0.5562,0.5687,0.5713,0.5776,0.5759,0.5756,0.5963,0.6326,0.6585,0.6625,0.6436,0.6176,0.6121,0.6184,0.6101,0.6095,0.6519,0.7204,0.7791,0.8104,0.8262,0.8355,0.8426,0.8497,0.8549,0.8583,0.8572,0.8531,0.85,0.8515,0.8545,0.8566,0.8598
P18,0.0049,0.0052,0.0085,0.014,0.0182,0.0209,0.0239,0.0256,0.0267,0.0278,0.0284,0.0288,0.0286,0.0278,0.0257,0.0224,0.0182,0.0134,0.0091,0.0064,0.0051,0.0046,0.0043,0.0043,0.0043,0.0042,0.0044,0.0046,0.0049,0.0049,0.0049,0.0047,0.0045,0.0048,0.0059,0.0077
P19,0.0046,0.0067,0.0093,0.0141,0.0168,0.0175,0.0171,0.0161,0.0147,0.0126,0.0103,0.0088,0.0076,0.0063,0.0053,0.0052,0.0052,0.0052,0.0056,0.0075,0.0121,0.0174,0.0206,0.0219,0.0229,0.0238,0.0249,0.0262,0.0275,0.0279,0.0275,0.0273,0.0274,0.028,0.0305,0.0343
P20,0.0057,0.0065,0.0063,0.0063,0.0064,0.0063,0.0062,0.0066,0.0076,0.01,0.0156,0.0212,0.0241,0.0256,0.0265,0.0269,0.0268,0.026,0.0245,0.0228,0.0214,0.0204,0.0196,0.0191,0.0194,0.0199,0.021,0.0221,0.0233,0.0237,0.0234,0.0232,0.0233,0.0243,0.0262,0.0299
P21,0.0067,0.0055,0.0086,0.0145,0.0174,0.019,0.0199,0.0199,0.0195,0.0188,0.0175,0.0162,0.0149,0.0128,0.0105,0.0096,0.0094,0.0082,0.0074,0.0079,0.0089,0.0094,0.0093,0.0091,0.0091,0.0094,0.01,0.0109,0.012,0.0123,0.012,0.0115,0.0111,0.0114,0.0131,0.0169
P22,0.0057,0.0052,0.0067,0.0085,0.0093,0.0096,0.01,0.0105,0.0116,0.0145,0.0197,0.0235,0.0251,0.0257,0.0253,0.0243,0.0224,0.0195,0.016,0.013,0.0108,0.0096,0.0089,0.0084,0.0085,0.0088,0.0093,0.01,0.0109,0.0113,0.011,0.0107,0.0105,0.0107,0.0124,0.0156
P23,0.0056,0.0051,0.0073,0.0085,0.0094,0.0092,0.0095,0.0096,0.0098,0.0115,0.0139,0.015,0.0146,0.0131,0.0112,0.0107,0.011,0.0104,0.0103,0.0123,0.0157,0.0183,0.0192,0.0194,0.0199,0.0206,0.0215,0.0228,0.024,0.0244,0.0239,0.0237,0.0239,0.0245,0.0268,0.0307
P24,0.0066,0.0072,0.0086,0.011,0.0123,0.0131,0.0132,0.0134,0.0138,0.0154,0.0176,0.0187,0.0186,0.0174,0.0156,0.0148,0.0146,0.0132,0.0118,0.0119,0.0126,0.0129,0.0126,0.0123,0.0123,0.0128,0.0136,0.0146,0.0158,0.0161,0.016,0.0157,0.0154,0.0158,0.0176,0.0215
P25,0.0081,0.0083,0.0114,0.0152,0.0176,0.0188,0.0198,0.0207,0.0214,0.022,0.0226,0.0233,0.0239,0.0243,0.0245,0.0246,0.0242,0.0233,0.0216,0.0199,0.0183,0.0173,0.0165,0.016,0.0162,0.0167,0.0176,0.0188,0.0201,0.0205,0.0204,0.02,0.0201,0.0207,0.0226,0.0264
P26,0.7092,0.7396,0.7736,0.8131,0.8378,0.848,0.8557,0.8593,0.8632,0.8662,0.8699,0.8739,0.876,0.8765,0.8763,0.8753,0.8736,0.8698,0.8637,0.8639,0.861,0.8596,0.8577,0.8578,0.8599,0.8639,0.8692,0.8731,0.876,0.8751,0.8707,0.8673,0.8684,0.8711,0.8727,0.8763
