Wavelength(nm),380,390,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700,710,720,730
P1,0.0326,0.065,0.1457,0.2563,0.3403,0.4114,0.4908,0.5567,0.5938,0.614,0.6187,0.6099,0.5834,0.5332,0.4598,0.3731,0.2837,0.1955,0.1193,0.0682,0.0416,0.0296,0.0228,0.0193,0.019,0.0205,0.0233,0.0289,0.0359,0.0389,0.0362,0.0319,0.0278,0.027,0.0339,0.0536
P2,0.0468,0.0797,0.1484,0.2275,0.2695,0.276,0.2623,0.2344,0.201,0.1623,0.1202,0.0911,0.0696,0.042,0.0215,0.0176,0.0199,0.0176,0.0194,0.0524,0.1581,0.3292,0.4944,0.618,0.6928,0.7322,0.7552,0.7681,0.7762,0.7787,0.7757,0.774,0.7773,0.7823,0.7883,0.7952
P3,0.0346,0.0325,0.0344,0.0327,0.0267,0.0229,0.0244,0.025,0.0291,0.0688,0.195,0.3726,0.5061,0.5867,0.6385,0.6741,0.6994,0.7156,0.7237,0.7326,0.7388,0.7457,0.7499,0.7534,0.7601,0.7698,0.7813,0.7889,0.793,0.7921,0.7883,0.7871,0.7902,0.7945,0.7991,0.805
P4,0.0102,0.0166,0.0572,0.1325,0.1886,0.2144,0.2243,0.2144,0.1901,0.1573,0.1193,0.0917,0.0702,0.0428,0.0214,0.0152,0.0138,0.0094,0.0069,0.0096,0.0172,0.025,0.027,0.0268,0.0278,0.0299,0.0334,0.0395,0.0468,0.05,0.047,0.0424,0.038,0.0371,0.0445,0.0643
P5,0.0088,0.0083,0.0142,0.0223,0.0222,0.0214,0.0241,0.0254,0.03,0.0672,0.1787,0.324,0.4114,0.4301,0.3997,0.34,0.267,0.1895,0.12,0.0723,0.047,0.0352,0.0282,0.0243,0.0241,0.0257,0.0289,0.0348,0.0421,0.0452,0.0423,0.0376,0.0333,0.0327,0.0405,0.0602
P6,0.0109,0.0108,0.0154,0.0209,0.0198,0.0175,0.0171,0.0159,0.016,0.0256,0.0462,0.0609,0.058,0.0393,0.0223,0.019,0.0213,0.0191,0.0212,0.0545,0.1582,0.3242,0.4829,0.5999,0.6711,0.7112,0.7366,0.7515,0.76,0.7617,0.7593,0.7591,0.7631,0.7687,0.7749,0.7806
P7,0.0118,0.0186,0.0398,0.0606,0.0653,0.0639,0.0682,0.068,0.0694,0.0958,0.1407,0.1672,0.161,0.1252,0.0856,0.0723,0.0706,0.0565,0.0457,0.057,0.0811,0.0978,0.0993,0.0967,0.0989,0.1042,0.1124,0.1255,0.1401,0.146,0.1404,0.1315,0.1226,0.1208,0.1354,0.1698
P8,0.0576,0.1008,0.1841,0.2815,0.3435,0.376,0.3932,0.3897,0.3695,0.337,0.2943,0.2596,0.2279,0.1773,0.1265,0.1088,0.1066,0.089,0.0755,0.0902,0.1196,0.1385,0.1395,0.1362,0.1386,0.1445,0.1536,0.1683,0.1847,0.1911,0.1847,0.1743,0.1642,0.1622,0.178,0.2148
P9,0.0482,0.0664,0.0951,0.1155,0.1163,0.114,0.1253,0.1299,0.142,0.2147,0.3637,0.5084,0.58,0.5955,0.575,0.529,0.4656,0.3885,0.3074,0.2406,0.1962,0.1707,0.1527,0.1419,0.1415,0.1465,0.1557,0.1709,0.1875,0.1939,0.1873,0.1772,0.1669,0.1646,0.1811,0.2198
P10,0.062,0.0749,0.0981,0.1139,0.1119,0.106,0.1093,0.1066,0.1072,0.1398,0.1921,0.2226,0.2175,0.1784,0.1344,0.1242,0.1328,0.1246,0.1279,0.1987,0.3447,0.5089,0.6271,0.6963,0.7338,0.7549,0.7702,0.7794,0.7849,0.7853,0.7814,0.7797,0.7824,0.7869,0.7921,0.7987
P11,0.2385,0.2993,0.3805,0.4623,0.514,0.5427,0.5603,0.5618,0.5507,0.5284,0.4964,0.4699,0.4426,0.3939,0.3404,0.3191,0.3139,0.2889,0.2679,0.286,0.3245,0.3518,0.3573,0.356,0.3596,0.3667,0.3777,0.3935,0.4103,0.4159,0.408,0.3972,0.3872,0.3853,0.4018,0.4381
P12,0.2464,0.2717,0.3002,0.321,0.324,0.322,0.3275,0.324,0.3237,0.3551,0.4062,0.4394,0.4387,0.404,0.3608,0.3502,0.3595,0.3503,0.3525,0.4206,0.5417,0.6576,0.7279,0.7646,0.7843,0.7968,0.8074,0.814,0.8182,0.8178,0.8131,0.8112,0.8134,0.8173,0.8223,0.8288
