Wavelength(nm),380,390,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700,710,720,730
P1,0.0323,0.0654,0.1464,0.258,0.3426,0.4131,0.4928,0.5587,0.5959,0.6163,0.6211,0.6122,0.5857,0.5354,0.4619,0.3751,0.2854,0.1969,0.1203,0.0688,0.0421,0.0301,0.0231,0.0195,0.0192,0.0207,0.0236,0.0293,0.0362,0.0392,0.0367,0.0322,0.028,0.0273,0.0343,0.0536
P2,0.05,0.081,0.1489,0.227,0.27,0.2764,0.2628,0.2347,0.2011,0.1625,0.1202,0.0909,0.0692,0.0417,0.0213,0.0175,0.0196,0.0173,0.0191,0.0522,0.1584,0.3301,0.4962,0.6206,0.6958,0.7354,0.7585,0.7716,0.7796,0.7819,0.7787,0.7773,0.7803,0.7852,0.7913,0.7984
P3,0.036,0.0315,0.0337,0.032,0.0261,0.0225,0.0237,0.0241,0.0287,0.0684,0.1947,0.373,0.5069,0.5879,0.6403,0.676,0.7016,0.7176,0.7256,0.7346,0.7407,0.7475,0.752,0.7557,0.7621,0.7718,0.7833,0.791,0.7948,0.794,0.79,0.7887,0.7915,0.7957,0.8003,0.8059
P4,0.0095,0.0181,0.0573,0.1318,0.1879,0.2141,0.2239,0.2143,0.19,0.1573,0.1193,0.0915,0.0698,0.0425,0.0213,0.0152,0.0138,0.0095,0.007,0.0096,0.017,0.0246,0.0267,0.0264,0.0274,0.0295,0.0329,0.0389,0.0463,0.0494,0.0466,0.0417,0.0372,0.0365,0.0441,0.0637
P5,0.0074,0.0097,0.0144,0.0215,0.022,0.0208,0.0237,0.0251,0.0297,0.0668,0.1781,0.3238,0.4121,0.4311,0.4011,0.3415,0.2685,0.1907,0.1207,0.0727,0.0473,0.0355,0.0285,0.0245,0.0243,0.026,0.0292,0.0352,0.0425,0.0457,0.0428,0.0382,0.0337,0.0331,0.0407,0.0607
P6,0.0086,0.01,0.0146,0.0212,0.0203,0.0172,0.0172,0.016,0.0162,0.0256,0.0464,0.0612,0.0582,0.0394,0.0223,0.0191,0.0215,0.0192,0.0212,0.0547,0.1589,0.3254,0.4846,0.602,0.6731,0.713,0.7383,0.753,0.7614,0.7634,0.7608,0.7602,0.7643,0.7698,0.7752,0.7807
P7,0.0124,0.0203,0.0409,0.0616,0.0654,0.0639,0.0682,0.0675,0.069,0.0959,0.1409,0.1678,0.1616,0.1259,0.0864,0.0728,0.0712,0.0569,0.0459,0.0567,0.0805,0.0967,0.0981,0.0957,0.0977,0.1029,0.1111,0.1242,0.139,0.1448,0.1391,0.1303,0.1212,0.1193,0.1341,0.168
P8,0.0582,0.1004,0.1843,0.2824,0.3456,0.3778,0.3948,0.3911,0.3711,0.3382,0.295,0.2601,0.228,0.177,0.1261,0.1084,0.1062,0.0883,0.0747,0.0895,0.1193,0.1385,0.1396,0.1363,0.1386,0.1445,0.1538,0.1686,0.185,0.1915,0.1851,0.1748,0.1647,0.1622,0.1783,0.2148
P9,0.0495,0.0661,0.0945,0.1149,0.1163,0.1142,0.1251,0.1299,0.142,0.2143,0.3633,0.5086,0.5807,0.5963,0.576,0.5297,0.4659,0.3882,0.3065,0.2394,0.195,0.1695,0.1513,0.1405,0.1401,0.1451,0.1543,0.1694,0.1863,0.1926,0.1862,0.176,0.1657,0.1633,0.1797,0.2181
